WriteConcern,Cost,Latency
1,1.0000,1.00
2,1.0000,1.00
3,1.0000,1.00
1,1.0000,1.00
2,1.0000,1.00
3,1.0000,1.00
1,1.0000,1.00
2,1.0000,1.00
3,1.0000,1.00
1,1.0000,1.00
2,1.0000,1.00
3,1.0000,1.00
1,1.0000,1.00
2,1.0000,1.00
3,1.0000,1.00
1,1.0000,1.00
2,1.0000,1.00
3,1.0000,1.00
1,1.0000,1.00
2,1.0000,1.00
3,1.0000,4.80
1,1.0000,1.00
2,1.0000,1.00
3,1.0000,4.80
1,1.0000,1.00
2,1.0000,1.00
3,1.0000,4.80
1,1.0000,1.00
2,1.0000,1.00
3,1.0000,7.84
1,1.0000,1.00
2,1.0000,1.00
3,1.0000,7.84
1,1.0000,1.00
2,1.0000,1.00
3,1.0000,7.84
1,1.0000,1.00
2,1.0000,1.00
3,1.0039,10.27
1,1.0000,1.00
2,1.0000,1.00
3,1.0039,10.27
1,1.0000,1.00
2,1.0000,1.00
3,1.0039,10.27
1,1.0000,1.00
2,1.0000,1.00
3,1.2573,12.22
1,1.0000,1.00
2,1.0000,1.00
3,1.2573,12.22
1,1.0000,1.00
2,1.0000,1.00
3,1.2573,12.22
1,1.0000,1.00
2,1.0000,1.00
3,1.7451,16.77
1,1.0000,1.00
2,1.0000,1.00
3,1.7451,16.77
1,1.0000,1.00
2,1.0000,1.00
3,1.7451,16.77
1,1.0000,1.00
2,1.0000,1.00
3,3.8795,20.42
1,1.0000,1.00
2,1.0000,1.00
3,3.8795,20.42
1,1.0000,1.00
2,1.0000,1.00
3,3.8795,20.42
1,1.0000,1.00
2,1.0000,1.00
3,6.5879,24.14
1,1.0000,1.00
2,1.0000,1.00
3,6.5879,24.14
1,1.0000,1.00
2,1.0000,1.00
3,6.5879,24.14
1,1.0000,1.00
2,1.0000,1.00
3,10.2649,27.11
1,1.0000,1.00
2,1.0000,1.00
3,10.2649,27.11
1,1.0000,1.00
2,1.0000,1.00
3,10.2649,27.11
1,1.0000,1.00
2,1.0000,1.00
3,13.8722,29.49
1,1.0000,1.00
2,1.0000,1.00
3,13.8722,29.49
1,1.0000,1.00
2,1.0000,1.00
3,13.8722,29.49
1,1.0000,1.00
2,1.0000,1.00
3,17.1842,30.79
1,1.0000,1.00
2,1.0000,1.00
3,17.1842,30.79
1,1.0000,1.00
2,1.0000,1.00
3,17.1842,30.79
1,1.0000,1.00
2,1.0000,1.00
3,17.9927,31.83
1,1.0000,1.00
2,1.0000,1.00
3,17.9927,31.83
1,1.0000,1.00
2,1.0000,1.00
3,17.9927,31.83
1,1.0000,1.00
2,1.0000,1.00
3,18.1857,32.67
1,1.0000,1.00
2,1.0000,1.00
3,18.1857,32.67
1,1.0000,1.00
2,1.0000,1.00
3,18.1857,32.67
1,1.0000,1.00
2,1.0000,1.00
3,18.4506,33.33
1,1.0000,1.00
2,1.0000,1.00
3,18.4506,33.33
1,1.0000,1.00
2,1.0000,1.00
3,18.4506,33.33
1,1.0000,1.00
2,1.0000,1.00
3,18.7332,34.67
1,1.0000,1.00
2,1.0000,1.00
3,18.7332,34.67
1,1.0000,1.00
2,1.0000,1.00
3,18.7332,34.67
1,1.0000,1.00
2,1.0000,1.00
3,19.4869,35.93
1,1.0000,1.00
2,1.0000,1.00
3,19.4869,35.93
1,1.0000,1.00
2,1.0000,1.00
3,19.4869,35.93
1,1.0000,1.00
2,1.0000,1.00
3,20.4355,36.95
1,1.0000,1.00
2,1.0000,1.00
3,20.4355,36.95
1,1.0000,1.00
2,1.0000,1.00
3,20.4355,36.95
1,1.0000,1.00
2,1.0000,1.00
3,21.3578,37.36
1,1.0000,1.00
2,1.0000,1.00
3,21.3578,37.36
1,1.0000,1.00
2,1.0000,1.00
3,21.3578,37.36
1,1.0000,1.00
2,1.0000,1.00
3,21.7729,37.69
1,1.0000,1.00
2,1.0000,1.00
3,21.7729,37.69
1,1.0000,1.00
2,1.0000,1.00
3,21.7729,37.69
1,1.0000,1.00
2,1.0000,1.00
3,22.1222,37.95
1,1.0000,1.00
2,1.0000,1.00
3,22.1222,37.95
1,1.0000,1.00
2,1.0000,1.00
3,22.1222,37.95
1,1.0000,1.00
2,1.0000,1.00
3,22.4127,38.56
1,1.0000,1.00
2,1.0000,1.00
3,22.4127,38.56
1,1.0000,1.00
2,1.0000,1.00
3,22.4127,38.56
1,1.0000,1.00
2,1.0000,1.00
3,23.1245,39.65
1,1.0000,1.00
2,1.0000,1.00
3,23.1245,39.65
